key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,CDT_trials_train.thisRepN,CDT_trials_train.thisTrialN,CDT_trials_train.thisN,CDT_trials_train.thisIndex,CDT_trials_train.ran,trialnum,condit,stimamt,stim1posx,stim1posy,stim1col,stim1opa,stim2posx,stim2posy,stim2col,stim2opa,stim3posx,stim3posy,stim3col,stim3opa,stim4posx,stim4posy,stim4col,stim4opa,stim5posx,stim5posy,stim5col,stim5opa,stim6posx,stim6posy,stim6col,stim6opa,stim7posx,stim7posy,stim7col,stim7opa,stim8posx,stim8posy,stim8col,stim8opa,stimsizex,stimsizey,stimdur,targetposx,targetposy,targetcol,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,CDT_trials.thisRepN,CDT_trials.thisTrialN,CDT_trials.thisN,CDT_trials.thisIndex,CDT_trials.ran,trialResp_Train.keys,trialResp_Train.corr,GNGtrials_train.thisRepN,GNGtrials_train.thisTrialN,GNGtrials_train.thisN,GNGtrials_train.thisIndex,GNGtrials_train.ran,orangeOpacity,blueOpacity,trialResp.keys,trialResp.corr,GNG_trials_1.thisRepN,GNG_trials_1.thisTrialN,GNG_trials_1.thisN,GNG_trials_1.thisIndex,GNG_trials_1.ran,trialResp.rt,GNG_trials_2.thisRepN,GNG_trials_2.thisTrialN,GNG_trials_2.thisN,GNG_trials_2.thisIndex,GNG_trials_2.ran,GNG_trials_3.thisRepN,GNG_trials_3.thisTrialN,GNG_trials_3.thisN,GNG_trials_3.thisIndex,GNG_trials_3.ran,slider_2.response,slider_2.rt,engprof_trials.thisRepN,engprof_trials.thisTrialN,engprof_trials.thisN,engprof_trials.thisIndex,engprof_trials.ran,qpnumber,qproficiency,slider.response,slider.rt,IUS12_trials.thisRepN,IUS12_trials.thisTrialN,IUS12_trials.thisN,IUS12_trials.thisIndex,IUS12_trials.ran,qnumber,qenglish,key_resp_end.keys,key_resp_end.rt
,,,,,,,,,,,,1,same,4,0.14,0.14,magenta,1,0.27,-0.14,blue,1,-0.27,-0.14,black,1,-0.27,0.27,green,1,0.41,0.41,red,0,0.27,-0.27,cyan,0,-0.14,-0.14,yellow,0,-0.27,0.41,orange,0,0.05,0.05,0.15,0.14,0.14,magenta,k,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,l,0,0.483835,0,7,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,75,same,8,0.41,0.27,blue,1,0.41,-0.41,black,1,-0.41,-0.41,red,1,-0.27,0.14,magenta,1,0.27,0.14,yellow,1,0.27,-0.27,cyan,1,-0.14,-0.27,green,1,-0.41,0.27,orange,1,0.05,0.05,0.15,-0.14,-0.27,green,k,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,l,0,0.433925,0,8,8,74,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,35,different,4,0.27,0.41,orange,1,0.41,-0.14,cyan,1,-0.27,-0.27,green,1,-0.14,0.27,yellow,1,0.41,0.27,black,0,0.41,-0.41,magenta,0,-0.14,-0.14,blue,0,-0.27,0.14,red,0,0.05,0.05,0.15,-0.14,0.27,blue,l,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,k,0,0.253425,0,9,9,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,37,different,4,0.41,0.41,yellow,1,0.27,-0.14,black,1,-0.14,-0.14,orange,1,-0.41,0.14,green,1,0.14,0.14,cyan,0,0.27,-0.41,blue,0,-0.14,-0.27,magenta,0,-0.14,0.14,red,0,0.05,0.05,0.15,0.41,0.41,red,l,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,k,0,1.669535,0,10,10,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,42,different,4,0.41,0.41,green,1,0.14,-0.14,red,1,-0.27,-0.14,cyan,1,-0.27,0.27,blue,1,0.27,0.27,orange,0,0.14,-0.27,black,0,-0.27,-0.41,yellow,0,-0.27,0.41,magenta,0,0.05,0.05,0.15,-0.27,0.27,red,l,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,k,0,0.56681,0,11,11,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2,same,4,0.27,0.41,magenta,1,0.41,-0.14,red,1,-0.27,-0.14,orange,1,-0.27,0.14,blue,1,0.14,0.14,cyan,0,0.14,-0.14,green,0,-0.14,-0.14,black,0,-0.14,0.41,yellow,0,0.05,0.05,0.15,-0.27,-0.14,orange,k,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,k,1,0.619985,0,12,12,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,45,different,4,0.14,0.14,red,1,0.27,-0.27,black,1,-0.41,-0.27,cyan,1,-0.41,0.27,blue,1,0.27,0.27,magenta,0,0.14,-0.41,orange,0,-0.14,-0.14,green,0,-0.27,0.14,yellow,0,0.05,0.05,0.15,0.14,0.14,blue,l,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,0.30794,0,13,13,44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,73,same,8,0.14,0.14,blue,1,0.14,-0.41,yellow,1,-0.41,-0.41,red,1,-0.41,0.27,orange,1,0.27,0.41,magenta,1,0.14,-0.27,green,1,-0.41,-0.27,black,1,-0.27,0.27,cyan,1,0.05,0.05,0.15,0.27,0.41,magenta,k,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,l,0,0.366335,0,14,14,72,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,110,different,8,0.41,0.14,orange,1,0.27,-0.27,black,1,-0.14,-0.27,blue,1,-0.27,0.27,cyan,1,0.27,0.41,magenta,1,0.27,-0.41,red,1,-0.27,-0.41,yellow,1,-0.27,0.41,green,1,0.05,0.05,0.15,-0.27,-0.41,red,l,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,0.550585,0,15,15,109,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,49,different,4,0.27,0.14,green,1,0.41,-0.14,yellow,1,-0.27,-0.41,red,1,-0.14,0.14,cyan,1,0.14,0.14,blue,0,0.27,-0.27,black,0,-0.14,-0.41,orange,0,-0.41,0.14,magenta,0,0.05,0.05,0.15,0.27,0.14,yellow,l,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,k,0,0.417235,0,16,16,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,92,different,8,0.27,0.27,yellow,1,0.14,-0.27,green,1,-0.41,-0.14,blue,1,-0.41,0.41,red,1,0.14,0.27,magenta,1,0.27,-0.14,cyan,1,-0.14,-0.14,orange,1,-0.27,0.27,black,1,0.05,0.05,0.15,-0.41,-0.14,magenta,l,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,0.7055,0,17,17,91,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,47,different,4,0.27,0.27,magenta,1,0.41,-0.27,black,1,-0.14,-0.41,red,1,-0.14,0.41,green,1,0.41,0.41,cyan,0,0.27,-0.14,orange,0,-0.27,-0.14,blue,0,-0.27,0.14,yellow,0,0.05,0.05,0.15,0.27,0.27,blue,l,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,0.71944,0,18,18,46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,27,same,4,0.27,0.27,yellow,1,0.27,-0.27,green,1,-0.27,-0.41,cyan,1,-0.14,0.41,black,1,0.14,0.41,blue,0,0.41,-0.14,red,0,-0.14,-0.14,orange,0,-0.27,0.41,magenta,0,0.05,0.05,0.15,0.27,-0.27,green,k,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,l,0,3.884585,0,19,19,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,77,same,8,0.41,0.41,black,1,0.14,-0.14,cyan,1,-0.27,-0.41,yellow,1,-0.14,0.27,orange,1,0.41,0.14,blue,1,0.41,-0.14,magenta,1,-0.14,-0.27,green,1,-0.27,0.14,red,1,0.05,0.05,0.15,0.41,-0.14,magenta,k,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,l,0,0.504825,0,20,20,76,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,119,different,8,0.27,0.27,green,1,0.27,-0.14,orange,1,-0.41,-0.41,cyan,1,-0.27,0.27,blue,1,0.41,0.27,black,1,0.14,-0.41,red,1,-0.14,-0.41,yellow,1,-0.41,0.27,magenta,1,0.05,0.05,0.15,-0.41,0.27,cyan,l,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,0.83406,0,21,21,118,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,98,different,8,0.41,0.27,black,1,0.14,-0.27,yellow,1,-0.14,-0.27,cyan,1,-0.27,0.14,red,1,0.27,0.27,green,1,0.41,-0.41,magenta,1,-0.41,-0.14,blue,1,-0.41,0.41,orange,1,0.05,0.05,0.15,0.41,0.27,red,l,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,1.016955,0,22,22,97,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,97,different,8,0.27,0.27,blue,1,0.14,-0.27,orange,1,-0.14,-0.14,black,1,-0.27,0.14,cyan,1,0.14,0.14,magenta,1,0.27,-0.41,yellow,1,-0.27,-0.41,green,1,-0.41,0.14,red,1,0.05,0.05,0.15,-0.27,0.14,black,l,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,k,0,1.517715,0,23,23,96,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,38,different,4,0.27,0.27,black,1,0.14,-0.27,green,1,-0.14,-0.27,magenta,1,-0.41,0.14,blue,1,0.14,0.41,orange,0,0.27,-0.41,yellow,0,-0.41,-0.14,cyan,0,-0.27,0.41,red,0,0.05,0.05,0.15,-0.14,-0.27,orange,l,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,k,0,0.734895,0,24,24,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,34,different,4,0.14,0.14,cyan,1,0.14,-0.14,magenta,1,-0.41,-0.41,black,1,-0.41,0.14,yellow,1,0.27,0.27,orange,0,0.14,-0.41,green,0,-0.41,-0.14,red,0,-0.14,0.14,blue,0,0.05,0.05,0.15,0.14,-0.14,cyan,l,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,k,0,0.47341,0,25,25,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,41,different,4,0.41,0.41,green,1,0.27,-0.41,orange,1,-0.27,-0.41,black,1,-0.27,0.41,magenta,1,0.14,0.41,cyan,0,0.41,-0.27,blue,0,-0.14,-0.27,red,0,-0.27,0.14,yellow,0,0.05,0.05,0.15,-0.27,-0.41,cyan,l,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,k,0,0.650605,0,26,26,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,115,different,8,0.14,0.27,green,1,0.27,-0.41,orange,1,-0.14,-0.14,yellow,1,-0.27,0.41,magenta,1,0.27,0.14,blue,1,0.14,-0.27,red,1,-0.41,-0.14,cyan,1,-0.41,0.14,black,1,0.05,0.05,0.15,0.14,-0.27,cyan,l,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,k,0,0.46762,0,27,27,114,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,50,different,4,0.41,0.14,black,1,0.14,-0.14,blue,1,-0.41,-0.41,red,1,-0.27,0.14,green,1,0.14,0.41,cyan,0,0.41,-0.14,magenta,0,-0.14,-0.27,yellow,0,-0.27,0.41,orange,0,0.05,0.05,0.15,-0.41,-0.41,orange,l,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,k,0,0.352865,0,28,28,49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,60,different,4,0.41,0.14,cyan,1,0.14,-0.41,green,1,-0.41,-0.41,yellow,1,-0.41,0.41,magenta,1,0.14,0.14,orange,0,0.41,-0.41,red,0,-0.14,-0.41,black,0,-0.27,0.27,blue,0,0.05,0.05,0.15,0.41,0.14,blue,l,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,k,0,0.56739,0,29,29,59,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,65,same,8,0.41,0.41,blue,1,0.27,-0.41,yellow,1,-0.27,-0.41,red,1,-0.41,0.27,cyan,1,0.14,0.27,black,1,0.27,-0.27,orange,1,-0.41,-0.41,magenta,1,-0.41,0.41,green,1,0.05,0.05,0.15,0.27,-0.27,orange,k,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,l,0,0.5005,0,30,30,64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11,same,4,0.27,0.14,red,1,0.14,-0.14,cyan,1,-0.27,-0.41,blue,1,-0.27,0.14,yellow,1,0.27,0.27,green,0,0.41,-0.27,black,0,-0.41,-0.41,magenta,0,-0.41,0.14,orange,0,0.05,0.05,0.15,-0.27,-0.41,blue,k,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,k,1,1.706075,0,31,31,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,79,same,8,0.27,0.14,green,1,0.41,-0.14,yellow,1,-0.27,-0.41,orange,1,-0.14,0.14,black,1,0.41,0.27,cyan,1,0.14,-0.14,red,1,-0.14,-0.27,blue,1,-0.27,0.41,magenta,1,0.05,0.05,0.15,0.41,0.27,cyan,k,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,k,1,0.47837,0,32,32,78,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,63,same,8,0.27,0.27,magenta,1,0.27,-0.27,yellow,1,-0.27,-0.14,orange,1,-0.14,0.14,green,1,0.41,0.27,blue,1,0.41,-0.27,cyan,1,-0.41,-0.41,red,1,-0.41,0.27,black,1,0.05,0.05,0.15,0.27,0.27,magenta,k,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,k,1,0.48381,0,33,33,62,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40,different,4,0.41,0.41,magenta,1,0.41,-0.27,cyan,1,-0.27,-0.41,yellow,1,-0.14,0.41,black,1,0.27,0.27,blue,0,0.41,-0.41,green,0,-0.14,-0.27,red,0,-0.27,0.27,orange,0,0.05,0.05,0.15,-0.27,-0.41,orange,l,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,0.517185,0,34,34,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,76,same,8,0.14,0.27,orange,1,0.41,-0.14,cyan,1,-0.27,-0.27,blue,1,-0.14,0.14,black,1,0.27,0.41,green,1,0.27,-0.14,red,1,-0.27,-0.14,yellow,1,-0.27,0.27,magenta,1,0.05,0.05,0.15,0.41,-0.14,cyan,k,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,l,0,0.35432,0,35,35,75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,96,different,8,0.14,0.14,yellow,1,0.14,-0.41,black,1,-0.27,-0.27,orange,1,-0.14,0.41,blue,1,0.14,0.27,magenta,1,0.41,-0.27,cyan,1,-0.41,-0.41,red,1,-0.41,0.41,green,1,0.05,0.05,0.15,0.41,-0.27,magenta,l,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,k,0,0.33412,0,36,36,95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,23,same,4,0.41,0.14,cyan,1,0.14,-0.27,magenta,1,-0.14,-0.27,red,1,-0.14,0.27,green,1,0.41,0.27,blue,0,0.14,-0.41,yellow,0,-0.41,-0.27,orange,0,-0.27,0.41,black,0,0.05,0.05,0.15,-0.14,0.27,green,k,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,l,0,0.31812,0,37,37,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8,same,4,0.27,0.41,orange,1,0.41,-0.14,cyan,1,-0.14,-0.41,green,1,-0.14,0.41,black,1,0.41,0.41,blue,0,0.27,-0.41,yellow,0,-0.41,-0.27,red,0,-0.41,0.41,magenta,0,0.05,0.05,0.15,-0.14,-0.41,green,k,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,k,1,0.347505,0,38,38,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,5,same,4,0.27,0.27,blue,1,0.14,-0.14,orange,1,-0.27,-0.27,black,1,-0.27,0.41,magenta,1,0.27,0.41,green,0,0.14,-0.41,cyan,0,-0.27,-0.41,yellow,0,-0.27,0.14,red,0,0.05,0.05,0.15,0.14,-0.14,orange,k,684262,23,2020-08-05_19h07.32.204,CDT_GNG_IUS12,2020.1.2,Win32,60,l,0,0.7094,0,39,39,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
